iter	Logloss
0	0.6887263067
1	0.6834060806
2	0.6782642224
3	0.6734404005
4	0.6695765356
5	0.6650889382
6	0.6612102597
7	0.6577939995
8	0.6534372936
9	0.6495460836
10	0.6454233846
11	0.6413903121
12	0.6373762793
13	0.6342063612
14	0.6306773047
15	0.6271854275
16	0.6240544737
17	0.6212756644
18	0.6181618628
19	0.615711241
20	0.6125510254
21	0.6094375628
22	0.6067502206
23	0.604517601
24	0.6019617894
25	0.5994856332
26	0.5970475937
27	0.594335402
28	0.5917853156
29	0.5893805999
30	0.5875192598
31	0.5854338459
32	0.5837970379
33	0.5815500289
34	0.5791888169
35	0.577022286
36	0.5749544767
37	0.5731958295
38	0.5712056805
39	0.5697170372
40	0.5681654822
41	0.5663051146
42	0.5646296245
43	0.5632048397
44	0.5616595466
45	0.5600700631
46	0.5586575051
47	0.5573535047
48	0.5561210039
49	0.5545253575
50	0.553219713
51	0.5519208977
52	0.5503939332
53	0.5491587209
54	0.5480183458
55	0.5474060673
56	0.5461363027
57	0.5449724361
58	0.5441046312
59	0.5431444637
60	0.5420343367
61	0.5412240618
62	0.5402970252
63	0.5392250744
64	0.5379897467
65	0.5367561787
66	0.535630503
67	0.5344266805
68	0.5337492917
69	0.5333098352
70	0.5325084304
71	0.53179723
72	0.5308895364
73	0.529892832
74	0.5293222579
75	0.5284458132
76	0.52757228
77	0.5269602233
78	0.5260338696
79	0.5252487524
80	0.5243380068
81	0.5236221102
82	0.5227787004
83	0.5219216523
84	0.5211563686
85	0.5204429146
86	0.5196094019
87	0.5191558065
88	0.5186187112
89	0.5178932325
90	0.5171174686
91	0.516490079
92	0.5157934224
93	0.5152393987
94	0.5146256147
95	0.5139904238
96	0.513412296
97	0.5128291625
98	0.512326663
99	0.5117785638
100	0.5115901653
101	0.5111092139
102	0.5106387804
103	0.5099875986
104	0.5095318751
105	0.5089666556
106	0.5085427025
107	0.5079834857
108	0.5075583602
109	0.5070957901
110	0.5065539455
111	0.5061185034
112	0.5058056613
113	0.5053047611
114	0.5049806896
115	0.5044981082
116	0.5041814768
117	0.5037742497
118	0.5032671713
119	0.5027770586
120	0.502240482
121	0.5017340763
122	0.5013133748
123	0.5009347011
124	0.5005331247
125	0.500239644
126	0.4998170115
127	0.4994953662
128	0.4991966419
129	0.4989244871
130	0.4985879423
131	0.4982136497
132	0.4979189645
133	0.4977295551
134	0.4974496722
135	0.4972246112
136	0.4967740631
137	0.4964192178
138	0.4961340875
139	0.4958966721
140	0.495612507
141	0.4953864955
142	0.4950683026
143	0.4948042302
144	0.4944255871
145	0.494275053
146	0.4941884136
147	0.4939879204
148	0.4937378008
149	0.4933782602
150	0.4930393157
151	0.4928034272
152	0.4924901306
153	0.4922126031
154	0.491995108
155	0.4918480501
156	0.4916121815
157	0.4914552763
158	0.491311811
159	0.4911110508
160	0.4908848905
161	0.4906899656
162	0.490535962
163	0.4901804447
164	0.4899705263
165	0.4897827109
166	0.4896494064
167	0.4894820175
168	0.4892736624
169	0.4890117052
170	0.4887597194
171	0.4885572071
172	0.4884284114
173	0.4881877172
174	0.488048263
175	0.4880150466
176	0.4879403846
177	0.4879138828
178	0.4877710764
179	0.4876681811
180	0.4875103506
181	0.4874084407
182	0.4872222491
183	0.4871515488
184	0.486980084
185	0.4868920073
186	0.4867623204
187	0.4865691612
188	0.4863424399
189	0.4862275038
190	0.4861060298
191	0.4859742086
192	0.4858435663
193	0.4857824559
194	0.4855895492
195	0.4854824117
196	0.4854346451
197	0.4853745511
198	0.4853279858
199	0.485211123
200	0.4851671856
201	0.4850569367
202	0.4849327969
203	0.4847627541
204	0.4845757343
205	0.4843949111
206	0.48416899
207	0.4840546584
208	0.4838898344
209	0.4836630012
210	0.4834550989
211	0.4834169097
212	0.4833247853
213	0.4831696664
214	0.4830055347
215	0.4828214826
216	0.4826252536
217	0.482552132
218	0.4824889249
219	0.482321586
220	0.4821830777
221	0.4821623072
222	0.4820056444
223	0.4819084329
224	0.4818875247
225	0.4817317487
226	0.4815495254
227	0.4814929746
